Date	number of bedrooms	number of bathrooms	living area	lot area	number of floors	waterfront present	number of views	condition of the house	grade of the house	Area of the house(excluding basement)	Area of the basement	Built Year	Renovation Year	Postal Code	Lattitude	Longitude	living_area_renov	lot_area_renov	Number of schools nearby	Distance from the airport	Price
42685	4	2.5	3030	6813	2.0	0	0	3	9	3030	0	1987	0	122019	52.8596	-114.219	2310	8682	2	54	557865
42505	3	2.0	2220	6641	1.0	0	2	4	7	1220	1000	1947	0	122032	52.8726	-114.578	1800	5900	3	56	875000
42602	4	2.5	2320	14240	1.0	0	0	4	9	1620	700	1974	0	122029	52.8569	-114.28	2810	13200	2	67	824000
42551	3	2.0	1270	3600	1.0	0	0	3	7	1270	0	1963	0	122044	52.8399	-114.487	1660	3600	1	59	349500
42721	2	2.25	1550	1824	2.0	0	0	3	8	1550	0	2007	0	122034	52.7696	-114.558	1460	1826	2	73	348500
42602	3	1.5	1930	11092	1.0	0	0	3	7	1500	430	1983	0	122019	52.864	-114.223	1230	10964	1	71	475000
42691	3	2.5	1570	2577	2.0	0	0	3	7	1570	0	2005	0	122055	52.9756	-114.174	1970	2952	2	59	299950
42697	4	2.5	3410	179419	2.0	0	0	3	10	3410	0	2004	0	122062	52.5902	-114.176	3350	175421	1	72	774950
42699	3	2.5	1690	4102	2.0	0	0	3	7	1690	0	2003	0	122024	52.5852	-114.205	1830	4733	2	79	295000
42690	4	2.5	2830	7350	1.0	0	0	3	8	1690	1140	1982	0	122018	52.5388	-114.531	2350	7768	3	79	295500
42677	4	1.75	2100	4400	1.5	0	0	5	7	1720	380	1924	0	122051	52.7599	-114.456	1850	4400	3	64	445000
42539	4	2.25	2160	5600	1.0	0	0	5	7	1080	1080	1947	0	122003	52.8742	-114.562	1850	5150	1	64	756000
42594	3	2.75	1320	1125	3.0	0	0	3	8	1320	0	2008	0	122028	52.8898	-114.538	1320	1266	3	65	535000
42687	4	2.5	3240	22795	2.0	0	0	3	8	3240	0	1998	0	122045	52.8629	-114.159	2570	29761	2	61	574000
42625	4	1.75	3100	21303	1.0	0	1	4	9	3100	0	1962	0	122020	52.8147	-114.271	3480	9697	3	51	950000
42645	3	2.25	1500	7482	1.0	0	0	4	7	1210	290	1968	0	122042	52.6919	-114.377	1480	7308	2	78	290000
42525	4	2.75	3110	35235	2.0	0	0	4	9	3110	0	1983	0	122021	52.9655	-114.285	2790	35445	2	51	749950
42518	4	2.5	2290	4539	2.0	0	0	3	7	2290	0	2001	0	122046	52.7053	-114.362	1710	7200	3	76	295000
42678	3	2.5	1380	1590	2.0	0	0	3	9	1160	220	2012	0	122064	52.7744	-114.565	1380	1590	3	66	350000
42550	3	2.5	2650	2387	2.0	0	0	3	8	1830	820	1920	0	122003	52.8615	-114.552	1870	2216	2	80	850000
42578	3	2.5	2200	34680	2.0	0	0	3	9	2200	0	1985	0	122023	52.5439	-114.306	2560	35840	3	66	424000
42544	3	1.75	1500	7200	1.0	0	0	3	7	1500	0	1957	0	122038	53.0048	-114.527	1650	7392	3	76	360000
42533	4	2.75	4070	115434	2.0	0	0	3	9	4070	0	2002	0	122025	52.7143	-113.942	2970	95832	3	72	845000
42505	3	1.0	1260	6826	1.0	0	0	3	6	720	540	1944	0	122022	52.961	-114.493	1300	6826	3	50	342000
42609	4	1.75	1940	8990	1.0	0	0	4	8	1560	380	1956	0	122033	52.9321	-114.431	2310	11745	2	66	545000
42645	2	1.0	750	6089	1.0	0	2	3	6	750	0	1937	0	122042	52.705	-114.389	1430	6451	1	65	213000
42565	3	2.25	2380	11200	1.0	0	0	4	8	2380	0	1963	0	122048	52.8173	-114.383	2010	11200	2	79	921000
42603	4	3.25	2690	7200	2.0	0	3	3	9	1720	970	1978	0	122014	52.9641	-114.478	2400	8845	3	55	635000
42558	3	2.0	2560	14680	1.0	0	0	3	8	1330	1230	1987	0	122005	52.878	-114.308	2390	13848	3	78	599000
42607	4	3.5	3080	118918	2.0	0	0	3	9	3080	0	2008	0	122055	53.0021	-114.114	1830	434728	1	70	637000
42587	2	1.75	1860	5940	1.0	0	2	5	8	1020	840	1956	0	122009	52.8051	-114.597	2130	5940	1	78	672500
42664	2	1.75	1400	2500	1.0	0	0	5	7	710	690	1916	0	122009	52.7928	-114.581	1250	5700	3	55	395000
42628	4	2.5	2720	7697	1.0	0	0	4	8	2120	600	1987	0	122046	52.6691	-114.351	2340	7700	1	70	348000
42545	1	0.75	930	29258	1.0	0	0	3	6	930	0	1941	0	122063	52.7137	-114.426	2000	18321	3	66	190000
42644	5	2.5	1980	10205	1.0	0	0	4	7	1080	900	1929	0	122006	52.929	-114.497	1310	5413	3	80	418000
42592	5	3.0	2710	4200	2.0	0	0	3	7	1890	820	1919	2014	122006	52.9054	-114.497	2150	4200	2	65	925000
42505	2	1.0	1160	5000	1.0	0	0	4	8	1160	0	1937	0	122007	52.9165	-114.589	1750	5000	3	80	490000
42719	3	1.0	1070	14000	1.0	0	0	3	7	1070	0	1960	0	122063	52.7271	-114.469	920	12500	1	50	147000
42641	4	3.5	3530	7202	2.0	0	0	3	9	2660	870	2000	0	122050	52.9639	-114.55	2810	8100	3	60	695000
42540	4	3.0	2240	8504	2.0	0	0	3	7	2240	0	1992	0	122014	52.9648	-114.485	1570	8460	3	54	337000
42615	3	2.0	2350	209088	1.0	0	0	3	7	2350	0	1993	0	122041	52.8827	-114.139	2300	209088	3	60	539000
42532	4	2.5	5730	44947	2.0	0	4	3	11	4280	1450	1991	0	122019	52.8352	-114.254	3310	17628	1	72	1230000
42708	3	2.5	2130	219978	2.0	0	0	3	8	2130	0	1986	0	122037	53.0054	-114.222	3340	217800	1	65	515000
42685	4	2.5	2990	8622	2.0	0	0	3	9	2990	0	2000	0	122008	52.7694	-114.065	2980	8622	3	65	645500
42608	4	2.5	3030	47958	1.0	0	0	3	8	1660	1370	1980	0	122012	52.6898	-114.194	2740	36017	2	75	465000
42649	4	2.0	1830	9610	1.0	0	0	3	7	1830	0	1963	0	122010	52.925	-114.366	1970	10754	1	61	488250
42524	3	1.0	1240	11108	1.0	0	0	4	7	1240	0	1952	0	122031	52.6765	-114.544	2220	16533	2	54	390000
42637	5	2.5	2340	5670	2.0	0	0	3	7	2340	0	2009	0	122015	52.7213	-114.342	2190	4869	1	80	392000
42603	3	2.0	2230	9870	1.5	0	0	4	7	1290	940	1915	0	122032	52.875	-114.576	1650	5040	3	76	736500
42582	5	2.5	2770	8100	2.0	0	0	3	9	2770	0	2002	0	122048	52.8641	-114.398	2070	8100	1	54	1310000
42690	3	1.0	1370	6450	1.0	0	0	3	7	1370	0	1948	0	122022	52.9495	-114.478	1550	6898	3	54	357000
42677	4	1.75	1700	8640	1.0	0	0	3	7	850	850	1955	0	122027	52.8072	-114.343	1620	9000	3	53	378500
42610	3	1.75	2170	12220	1.0	0	0	5	8	2170	0	1965	0	122010	52.8837	-114.385	1980	9000	1	70	907000
42559	4	3.5	3550	11000	1.0	0	2	3	11	2260	1290	1999	0	122027	52.7806	-114.324	4100	10012	1	54	1360000
42614	4	2.5	2430	11870	1.0	0	0	5	8	1590	840	1968	0	122014	53.0061	-114.475	2430	9600	2	78	605000
42637	4	2.5	3250	13360	2.0	0	0	3	9	3250	0	2014	0	122065	52.5824	-114.388	2612	14448	2	54	486940
42496	4	2.5	2180	11200	1.0	0	0	4	8	2180	0	1968	0	122021	52.9776	-114.276	1790	11200	1	76	480500
42526	2	1.0	1730	9610	1.0	0	0	3	7	1380	350	1962	0	122039	52.5256	-114.475	1310	9812	2	67	200000
42537	4	3.75	4100	9050	1.5	0	3	5	11	2540	1560	1934	1979	122057	52.7948	-114.4	3880	18730	1	76	2030000
42635	3	2.75	2370	8900	1.0	0	4	4	9	1670	700	1971	0	122027	52.7948	-114.346	2840	8956	1	60	1000000
42727	5	1.75	1960	7875	1.0	0	0	4	7	1960	0	1968	0	122033	52.9556	-114.37	1800	7764	2	68	434400
42572	3	2.5	2100	3574	2.0	0	0	3	7	1690	410	2005	0	122055	52.9753	-114.174	1970	2962	2	58	350000
42574	3	2.5	1740	4948	2.0	0	0	3	7	1740	0	2008	0	122045	52.9266	-114.215	1290	3383	3	67	410000
42565	4	2.5	3050	8000	2.0	0	0	3	9	3050	0	2007	0	122058	52.9765	-114.421	1910	8000	1	72	740000
42574	2	1.0	850	54000	1.5	0	0	1	4	850	0	1950	0	122018	52.5259	-114.567	1550	14440	1	80	150000
42704	4	1.75	2260	11000	1.0	0	0	3	8	1620	640	1976	0	122029	52.8524	-114.299	1960	10000	2	60	555000
42529	2	1.0	1200	9000	1.0	0	2	5	6	1200	0	1917	0	122043	52.6339	-114.513	1660	9000	2	80	255000
42652	3	2.25	2840	59677	1.0	0	0	3	7	1580	1260	1967	0	122020	52.8128	-114.234	2220	31688	2	58	663000
42699	3	2.0	1580	5289	1.0	0	0	3	7	870	710	1940	0	122028	52.9181	-114.532	1310	5535	3	78	563000
42711	3	1.0	1470	13457	1.0	0	0	3	7	1470	0	1963	0	122033	52.9455	-114.384	1300	9750	3	67	475000
42604	4	2.5	2245	4301	2.0	0	0	3	8	2245	0	2014	0	122024	52.5855	-114.253	2530	4478	2	51	362865
42704	3	1.75	2660	5511	1.0	0	0	3	8	1330	1330	1948	0	122059	52.7875	-114.49	2030	6111	2	59	467000
42634	3	1.0	950	8450	1.0	0	0	3	7	950	0	1962	0	122010	52.9184	-114.376	1610	10080	2	65	365000
42606	3	1.75	1750	2983	1.5	0	0	4	7	1230	520	1929	0	122007	52.9107	-114.556	1480	3600	3	58	524950
42566	4	1.75	2390	23899	1.0	0	0	3	7	1750	640	1949	0	122058	52.9857	-114.427	1840	33900	2	62	450000
42652	3	2.25	2380	6250	1.0	0	0	3	8	2040	340	1961	0	122006	52.9255	-114.465	1680	7200	3	59	490000
42649	4	2.25	1900	11171	1.0	0	0	3	8	1280	620	1984	0	122027	52.791	-114.316	2330	9934	1	77	629000
42602	4	3.25	3860	17820	1.0	0	4	4	10	2630	1230	1975	0	122048	52.8524	-114.405	4590	23760	2	62	2140000
42711	5	2.0	3920	5250	1.5	0	0	5	7	2560	1360	1910	0	122054	52.8098	-114.484	1830	4240	2	71	760000
42538	3	3.25	1380	1120	3.0	0	0	3	8	1380	0	2008	0	122028	52.8917	-114.539	1310	1405	2	69	482000
42642	3	1.75	1960	43332	1.0	0	0	4	7	1400	560	1982	0	122037	52.969	-114.238	2010	44431	2	51	425000
42581	3	1.75	1140	1165	2.0	0	0	3	8	1140	0	2014	0	122059	52.7938	-114.485	1150	1552	1	54	230000
42529	4	3.5	2370	3692	2.5	0	0	3	8	2370	0	2013	0	122053	52.7344	-114.36	2520	5425	3	59	400000
42533	2	1.75	1440	5680	1.0	0	0	4	8	1440	0	1978	0	122043	52.6125	-114.509	1320	3547	3	69	210000
42593	3	2.25	1400	3825	2.0	0	0	3	7	1400	0	2012	0	122035	52.5896	-114.272	2110	3825	1	52	270000
42635	3	1.0	1720	16552	1.0	0	0	4	7	1720	0	1971	0	122015	52.7072	-114.343	1550	15457	1	67	354900
42552	4	1.75	1440	13296	1.0	0	0	4	8	1440	0	1967	0	122048	52.864	-114.394	3520	10802	3	65	1040000
42602	2	1.0	930	3447	1.0	0	0	4	8	930	0	1978	0	122043	52.6122	-114.508	1160	3447	1	73	178500
42602	3	2.5	2160	7525	2.0	0	0	3	9	2160	0	1986	0	122005	52.8908	-114.335	2470	7941	1	57	756000
42636	2	1.75	2320	6250	1.0	0	0	3	7	1400	920	1948	0	122016	52.7768	-114.576	1420	6250	1	56	400950
42551	3	1.75	1750	7020	2.0	0	0	3	7	1750	0	1934	1978	122062	52.5564	-114.228	1170	9546	2	50	510000
42558	5	2.75	3500	5040	2.0	0	2	3	9	2950	550	1927	2007	122064	52.7827	-114.569	1450	5040	3	63	970000
42628	3	1.75	1320	9450	1.0	0	0	5	7	1320	0	1943	0	122031	52.6857	-114.538	1320	8315	3	53	338995
42558	3	3.25	1450	1387	2.0	0	0	3	8	1180	270	2013	0	122034	52.7856	-114.552	1450	1198	2	74	320000
42545	3	2.5	1870	7942	2.0	0	0	3	7	1870	0	1990	0	122039	52.572	-114.469	1870	7392	1	77	299950
42560	4	1.75	1520	7700	1.0	0	0	4	7	1520	0	1967	0	122033	52.9656	-114.381	1520	7500	3	78	499950
42628	3	1.5	1780	4200	1.5	0	0	4	8	1780	0	1916	0	122028	52.892	-114.539	1380	3333	3	64	588000
42698	2	1.0	820	3700	1.0	0	0	5	7	820	0	1968	0	122057	52.818	-114.441	1750	9000	1	77	554000
42536	2	1.75	1210	1040	2.0	0	0	3	8	1210	0	2014	0	122011	52.7819	-114.189	1210	1090	1	72	357186
42672	4	2.25	2490	6973	1.0	0	0	4	8	1490	1000	1953	0	122032	52.8816	-114.599	1780	5612	3	58	704000
42545	3	2.5	1730	3600	2.0	0	0	3	8	1730	0	2014	0	122052	52.7319	-114.53	2030	3600	3	54	328423
42523	3	2.25	1450	4706	2.0	0	0	3	7	1450	0	2009	0	122058	52.991	-114.422	1490	4667	2	57	400000
42494	3	2.5	1680	2000	3.0	0	0	3	9	1680	0	1909	1998	122004	52.8904	-114.48	1950	5000	3	69	670000
42726	2	1.0	760	4000	1.0	0	0	3	7	760	0	1944	0	122007	52.9196	-114.586	1520	4000	1	63	415000
42599	2	1.0	880	6731	1.0	0	0	4	7	880	0	1950	0	122009	52.7994	-114.585	1240	6731	1	76	454000
42519	4	2.5	2310	3570	1.5	0	0	3	7	1490	820	1927	2014	122028	52.9189	-114.537	1580	3060	2	78	700000
42635	3	3.25	1600	1298	3.0	0	0	3	8	1600	0	1999	0	122007	52.9254	-114.565	1600	1348	1	63	350000
42719	2	1.5	1800	4500	1.0	0	2	3	7	1000	800	1942	0	122061	52.8605	-114.537	2270	3840	3	72	930000
42552	3	3.0	1820	1641	3.0	0	0	3	8	1540	280	2006	0	122003	52.8782	-114.548	1720	1501	2	70	625000
42566	2	2.5	1290	1445	3.0	0	0	3	8	1290	0	1999	0	122007	52.9255	-114.566	1470	1503	1	55	350500
42530	2	1.5	1010	7719	2.0	0	0	3	7	1010	0	1981	0	122053	52.7428	-114.379	1210	7719	1	60	306888
42698	4	2.0	1530	4080	1.5	0	0	4	7	1530	0	1912	0	122004	52.8945	-114.515	1860	4080	2	72	664000
42599	4	2.5	2430	6325	2.0	0	0	4	8	2020	410	1919	0	122061	52.8713	-114.544	2340	4375	3	62	990000
42693	5	3.0	3720	25474	2.0	0	4	3	9	2090	1630	1986	0	122039	52.5596	-114.446	1870	14547	3	79	500000
42656	3	1.75	1160	8774	1.0	0	0	3	7	1160	0	1972	0	122033	52.9459	-114.355	1990	7908	2	64	370000
42538	6	5.0	6050	230652	2.0	0	3	3	11	6050	0	2001	0	122036	52.8333	-114.133	4210	233971	1	50	1600000
42578	3	1.75	2150	3503	2.0	0	0	3	8	1870	280	1921	0	122047	52.8585	-114.493	3920	6402	2	67	950000
42531	4	2.75	2240	27820	1.5	0	0	4	8	2240	0	1976	0	122020	52.8236	-114.244	2330	20000	2	68	580379
42623	4	2.5	3320	38032	2.0	0	0	4	10	3320	0	1991	0	122037	52.9778	-114.226	3270	37804	3	63	805000
42525	3	1.75	960	8106	1.0	0	0	3	7	960	0	1962	0	122005	52.9037	-114.346	1650	8035	2	69	375000
42635	4	1.75	2140	8162	1.0	0	0	3	7	1420	720	1968	0	122018	52.5396	-114.567	2040	7632	3	60	292500
42725	5	2.0	2400	3500	1.5	0	0	3	8	1900	500	1911	0	122028	52.9062	-114.546	1520	4000	3	77	650000
42537	3	2.75	2500	5568	2.0	0	0	5	9	2500	0	1905	0	122047	52.8558	-114.502	2810	5568	1	52	1190000
42636	5	2.75	2000	5885	1.0	0	0	3	7	1260	740	1994	0	122018	52.5455	-114.537	1960	6514	2	75	229950
42551	5	5.5	7050	42840	1.0	0	2	4	13	4320	2730	1978	0	122048	52.8529	-114.41	5070	20570	2	75	3800000
42505	4	2.25	1860	7000	1.0	0	0	3	8	1120	740	1979	0	122018	52.5427	-114.529	1990	8937	1	52	239900
42671	4	2.5	2830	5010	2.0	0	0	3	9	2170	660	2000	0	122006	52.9252	-114.517	1880	5739	1	73	738000
42574	4	2.75	2020	15810	1.0	0	0	4	9	1620	400	1967	0	122049	52.8221	-114.345	2210	10160	3	53	650000
42649	3	3.5	1420	1217	2.0	0	0	3	8	1180	240	2003	0	122006	52.9127	-114.514	1494	1264	3	63	579950
42593	4	1.75	1810	9750	2.0	0	0	4	7	1810	0	1977	0	122014	52.9981	-114.501	1570	10000	1	76	400000
42508	3	1.0	1370	7500	1.0	0	0	3	7	1370	0	1960	0	122041	52.8799	-114.105	1160	7500	2	73	307000
42586	5	2.5	2530	8564	2.0	0	0	4	8	2530	0	1976	0	122027	52.7922	-114.343	2480	8714	2	77	875000
42599	4	2.75	2090	14141	1.5	0	0	4	8	1680	410	1941	0	122031	52.6633	-114.537	1990	12920	3	66	449000
42609	2	2.5	2170	8678	1.0	0	0	3	8	2170	0	2008	0	122045	52.9461	-114.204	2170	5890	3	75	740000
42580	4	2.5	2120	215186	2.0	0	0	2	7	2120	0	1983	0	122041	52.931	-114.047	2000	215186	1	62	396400
42518	4	1.75	1990	4725	1.5	0	0	4	7	1190	800	1944	0	122064	52.7575	-114.57	1240	4961	2	71	445000
42684	4	2.0	1970	6480	1.5	0	0	5	7	1130	840	1920	0	122059	52.7811	-114.502	1500	6480	2	73	423000
42725	3	1.5	2390	4452	2.0	0	1	3	9	1790	600	1929	0	122064	52.8126	-114.568	2610	5000	2	59	790000
42686	4	1.75	1450	3750	1.0	0	0	4	7	950	500	1925	0	122004	52.9006	-114.49	1850	4000	2	61	471000
42602	4	2.5	1840	4593	2.0	0	0	3	7	1840	0	2010	0	122045	52.9166	-114.203	1740	3600	3	55	429000
42509	4	2.75	3160	8097	2.0	0	0	3	9	3160	0	2014	0	122010	52.9009	-114.356	2200	8097	1	65	860000
42586	3	2.25	1960	2345	2.0	0	0	3	7	1750	210	2003	0	122051	52.7719	-114.478	1760	1958	2	70	310000
42600	3	1.0	1130	9147	1.0	0	0	5	7	1130	0	1952	0	122010	52.9306	-114.387	1930	9906	1	73	426000
42511	3	2.0	2000	3207	1.0	0	0	4	7	1100	900	1916	0	122028	52.8861	-114.531	1460	3200	3	56	677000
42509	3	2.5	2830	5802	2.0	0	0	3	9	2830	0	2001	0	122058	52.9905	-114.424	2500	5788	3	66	551000
42529	2	1.5	1340	1210	2.0	0	0	3	8	1120	220	2008	0	122054	52.818	-114.495	1340	1213	1	67	345000
42536	4	2.5	3030	8507	2.0	0	0	3	9	3030	0	2003	0	122010	52.8975	-114.366	2570	8830	3	52	902000
42616	4	2.5	2030	39049	1.0	0	0	4	7	1530	500	1953	0	122031	52.6713	-114.535	2400	14605	3	71	515000
42595	6	3.25	2820	4536	2.0	0	0	4	8	1930	890	1917	0	122004	52.8988	-114.499	2820	4536	1	70	875000
42621	4	1.0	1470	18581	1.5	0	0	3	6	1470	0	1924	0	122042	52.6636	-114.387	1770	18581	2	54	180000
42726	4	3.25	3020	4000	1.5	0	0	5	8	1920	1100	1927	0	122047	52.8695	-114.469	2400	4000	3	57	1270000
42659	3	2.5	1190	1290	3.0	0	0	3	8	1190	0	2008	0	122026	52.9062	-114.568	1410	1923	3	72	469000
42525	4	2.5	2340	3827	2.0	0	0	3	8	2340	0	2008	0	122034	52.765	-114.538	1730	4000	3	55	445000
42685	3	1.75	1840	9401	1.0	0	0	3	8	1840	0	1971	0	122020	52.8147	-114.265	2850	14323	1	70	550000
42617	5	2.75	2620	8861	1.0	0	0	5	8	1350	1270	1979	0	122053	52.7526	-114.373	1940	10800	2	78	519000
42513	2	1.0	720	7200	1.0	0	0	5	6	720	0	1943	0	122046	52.7063	-114.367	970	8027	1	74	199000
42581	3	1.0	1010	25277	1.0	0	0	5	5	1010	0	1961	0	122055	52.9542	-114.141	1570	213879	1	54	201000
42523	3	1.0	1060	9600	1.0	0	0	4	6	1060	0	1962	0	122018	52.5178	-114.548	1060	9604	3	80	206000
42552	5	1.0	1590	6700	1.5	0	0	3	6	1090	500	1942	0	122052	52.7375	-114.54	1370	8040	3	63	185000
42670	4	2.75	1540	4840	1.0	0	2	4	7	850	690	1929	0	122064	52.7791	-114.565	1180	4840	3	72	450000
42681	3	1.5	1310	2998	2.0	0	0	3	7	1310	0	1998	0	122054	52.8173	-114.489	1310	2997	3	73	325000
42643	4	1.5	2440	8040	1.0	0	0	4	8	1440	1000	1950	0	122050	52.9381	-114.564	2140	7920	3	66	849000
42550	2	1.5	1190	3400	1.0	0	0	3	7	990	200	1919	0	122006	52.9026	-114.51	1410	3150	2	55	441000
42509	4	2.75	2620	13777	1.5	0	2	4	9	1720	900	1926	0	122054	52.81	-114.475	3530	9287	2	72	978000
42616	4	2.5	2440	7093	2.0	0	0	3	7	2440	0	1999	0	122065	52.6117	-114.394	1860	6072	1	66	310000
42693	3	2.5	2020	4183	2.0	0	0	3	7	2020	0	2012	0	122024	52.5958	-114.207	2030	4140	2	51	321000
42691	3	3.25	1490	857	3.0	0	0	3	8	1220	270	2001	0	122013	52.8657	-114.514	1550	1092	1	54	580000
42523	3	2.0	1530	8700	1.0	0	0	4	7	1530	0	1970	0	122042	52.6829	-114.397	1960	7600	3	73	235000
42544	4	1.75	1250	7400	1.0	0	0	5	6	1250	0	1959	0	122029	52.85	-114.31	990	7600	3	56	445000
42614	4	2.5	1780	3600	2.0	0	0	3	7	1780	0	2006	0	122024	52.5965	-114.207	2020	3802	1	53	296000
42617	3	1.0	1200	4592	1.0	0	0	3	6	800	400	1950	0	122034	52.749	-114.542	940	4440	2	68	260000
42537	3	1.0	860	5060	1.5	0	0	3	7	860	0	1927	0	122038	52.9362	-114.531	880	5060	2	69	320000
42582	4	2.5	2570	9086	2.0	0	0	3	9	2570	0	1999	0	122019	52.8673	-114.254	2760	6733	1	65	670000
42495	4	2.0	3740	32417	2.0	0	0	3	9	3740	0	2000	0	122045	52.9028	-114.202	3180	32417	2	73	860000
42715	3	2.25	2190	107593	2.0	0	0	4	8	2190	0	1983	0	122037	53.0031	-114.27	2570	47777	1	64	699950
42725	1	1.0	1050	7583	1.0	0	0	4	6	1050	0	1947	0	122038	52.9594	-114.531	1420	7560	2	67	210000
42517	3	2.5	2510	5503	2.0	0	2	3	9	2510	0	1995	0	122016	52.7719	-114.573	1790	6099	2	67	820000
42635	3	2.5	1610	3755	2.0	0	0	3	7	1610	0	1987	0	122005	52.9125	-114.287	1300	3823	2	78	395000
42634	3	2.25	1900	3800	2.0	0	0	3	7	1900	0	2006	0	122015	52.7166	-114.35	1950	3800	1	70	353000
42637	3	1.75	2600	105587	1.0	0	0	4	7	1300	1300	1980	0	122069	52.6764	-114.687	1941	208438	3	56	482000
42726	3	1.5	1072	4339	2.0	0	0	3	7	1072	0	2009	0	122035	52.616	-114.352	1443	4341	1	79	250000
42512	3	2.0	1650	9641	1.5	0	0	3	7	1650	0	1983	0	122033	52.9445	-114.421	1940	6701	1	76	410000
42540	3	1.0	1150	7156	1.0	0	0	4	6	1150	0	1953	0	122056	52.7164	-114.507	1210	7156	1	69	203000
42544	2	1.5	830	1119	2.0	0	0	3	7	830	0	2005	0	122054	52.8128	-114.504	1480	3622	3	78	329445
42629	3	1.0	1150	7486	1.0	0	0	3	7	1150	0	1970	0	122033	52.9561	-114.409	1510	7486	3	61	325000
42504	3	1.0	1160	10384	1.0	0	0	4	6	1160	0	1969	0	122024	52.5934	-114.217	1200	9880	3	79	215000
42623	5	2.75	2840	12253	1.0	0	0	3	7	1420	1420	1960	0	122058	52.9918	-114.443	2210	11620	3	63	396000
42629	3	1.0	1250	4548	1.0	0	0	4	7	1250	0	1954	0	122052	52.733	-114.554	1350	9300	1	63	333000
42616	3	2.5	2900	23550	1.0	0	0	3	10	1490	1410	1987	0	122027	52.8008	-114.343	2900	19604	3	73	770000
42525	4	2.5	2070	4500	2.0	0	0	3	7	2070	0	2004	0	122024	52.5797	-114.216	2760	5173	3	56	343000
42544	4	2.5	3220	15600	1.0	0	0	5	9	1680	1540	1973	0	122027	52.7997	-114.372	2990	15600	2	73	1250000
42649	4	1.75	2560	8270	1.0	0	0	3	7	1480	1080	1979	0	122021	52.9872	-114.337	2320	8450	2	55	448000
